age,educ,gender,rural,income,income_ln,gorman_secisl,voteisl,pious_off,cleric_inf,relig,sec_index,dem_index
19,3,0,0,400,5.9914646,3,0,1,2,1,5,4
32,2,0,0,300,5.7037826,4,1,3,1,2,2.2857144,3.6666667
43,2,0,0,530,6.2728772,3,0,2,2,3,2.8571429,2.3333333
33,2,0,0,200,5.2983174,3,0,2,3,2,1.7142857,2
31,2,0,0,450,6.1092477,3,0,2,2,1,3.8571429,1.6666666
53,1,1,0,9999998,,,0,1,2,,3.2857144,1.6666666
27,6,1,0,9999996,,,0,,,,,3
33,4,1,0,9999996,,3,0,2,2,2,2.7142856,2
38,3,1,0,500,6.2146082,3,0,2,2,2,3.2857144,3
43,2,1,1,800,6.6846118,2,1,2,2,2,3,2.3333333
25,1,0,1,300,5.7037826,3,0,3,3,2,1.4285715,3
27,4,0,1,900,6.8023949,2,0,3,3,2,3.1428571,2.3333333
25,3,0,1,500,6.2146082,2,1,1,1,2,3.8571429,3.3333333
70,1,0,1,9999996,,3,0,2,2,2,2.1428571,3
70,1,0,1,320,5.768321,5,0,2,2,1,2,1.6666666
67,1,1,1,3000,8.0063677,,0,,,2,3,2
32,3,1,1,9999994,,3,0,1,1,2,2.5714285,4
63,6,0,1,300,5.7037826,3,0,2,2,2,3.1428571,2.6666667
39,2,1,1,9999997,,3,1,2,2,2,2.1428571,1.3333334
50,1,1,0,150,5.0106354,3,0,3,3,3,2.5,2
28,5,1,0,9999998,,1,0,1,1,2,1.5714285,2.6666667
22,6,1,0,2000,7.6009026,2,0,2,3,1,3.1428571,3.3333333
77,1,1,0,150,5.0106354,,0,,,3,3.7142856,2
21,4,0,0,600,6.3969297,5,0,3,3,1,3.4285715,3.6666667
39,5,0,0,1300,7.1701198,2,0,2,2,2,3,3
19,3,0,0,1000,6.9077554,3,0,2,2,2,3.7142856,3
47,5,0,0,1500,7.3132205,3,0,2,2,2,2.2857144,2.3333333
42,3,0,0,450,6.1092477,2,1,2,1,2,3.7142856,4
21,,1,0,300,5.7037826,3,1,2,2,2,3.1428571,3
18,3,1,0,1000,6.9077554,2,0,2,2,1,4.1428571,2
60,3,0,0,300,5.7037826,2,,2,2,2,1.7142857,2.3333333
68,2,1,0,500,6.2146082,3,0,2,2,3,3,3
67,1,0,0,200,5.2983174,2,0,2,3,2,1.5714285,3.6666667
43,2,1,0,250,5.521461,,0,,,2,2.7142856,2
67,1,1,0,9999998,,,0,1,2,,3.2857144,2.6666667
80,1,1,0,100,4.6051702,3,0,2,2,3,2.5714285,2.3333333
42,2,0,0,450,6.1092477,3,0,2,2,2,1.4285715,2.3333333
45,3,0,0,480,6.1737862,3,,4,4,2,2,1.3333334
46,2,0,0,600,6.3969297,3,0,1,3,2,2.5714285,3.6666667
60,4,0,0,1300,7.1701198,3,1,3,2,2,2.7142856,3.6666667
84,1,0,0,300,5.7037826,,0,4,2,3,2,2.6666667
36,1,0,0,500,6.2146082,4,0,3,3,2,1.8571428,1.6666666
19,4,1,0,300,5.7037826,3,1,2,3,1,4,2.3333333
18,4,1,0,2100,7.6496925,3,1,2,2,1,4,3
30,1,1,0,160,5.0751739,,0,4,2,1,3.5714285,2.3333333
46,4,1,0,1450,7.2793188,3,0,2,2,,4,2.3333333
